originalTitle,features
Ostrov,"Drama, nm0541136, nm0526732"
Otac na sluzbenom putu,"Drama, nm0195617, nm0001437"
Otru,"Drama,Thriller, nm12483861, nm5844896"
Our Hospitality,"Comedy,Romance,Thriller, nm0000036, nm0090007"
Out in the Dark,"Crime,Drama,Romance, nm4966502, nm3199492"
Out of the Past,"Crime,Drama,Film-Noir, nm0000053, nm0869664"
Outfoxed: Rupert Murdoch's War on Journalism,"Documentary, nm0339254"
Oye Lucky! Lucky Oye!,"Action,Comedy,Crime, nm1867717, nm1962313"
PK,"Comedy,Drama,Sci-Fi, nm0451148, nm0386246"
Paan Singh Tomar,"Action,Biography,Crime, nm0451234, nm0223606"
Padayappa,"Action,Comedy,Drama, nm0304262, nm0433893"
Paddington 2,"Adventure,Comedy,Family, nm0924210, nm1653753"
Padman,"Comedy,Drama, nm0474774, nm2669564"
Padosan,"Comedy,Musical,Romance, nm0004570, nm0841918"
Paisà,"Drama,War, nm0601224, nm0744023"
Papanasam,"Crime,Drama,Thriller, nm0352032, nm2572228"
Paper Moon,"Comedy,Crime,Drama, nm0641939, nm0000953"
Papillon,"Biography,Crime,Drama, nm0000537, nm0769874"
Paprika,"Animation,Drama,Fantasy, nm0256609, nm0464804"
Paradise Lost 3: Purgatory,"Crime,Documentary, nm0075666"
Paradise Lost: The Child Murders at Robin Hood Hills,"Crime,Documentary, nm0075666"
Pardon,"Comedy,Drama, nm1284379, nm1729063"
Paris Is Burning,"Documentary, nm0515255"
"Paris, Texas","Drama, nm0001765, nm0000694"
Pariyerum Perumal,"Drama, nm6453091, nm6041683"
Parmanu: The Story of Pokhran,"Action,Drama,History, nm1303433, nm0788855"
Pashupati Prasad,"Comedy,Drama,Romance, nm6083332, nm8120704"
Pasqualino Settebellezze,"Comedy,Drama,War, nm0316284, nm0921631"
Pather Panchali,"Drama, nm0052333, nm0006249"
Paths of Glory,"Drama,War, nm0000018, nm0000040"
Patton,"Biography,Drama,War, nm0001715, nm0769874"
Pawankhind,"Action,Drama,History, nm2346665, nm9829530"
Peeping Tom,"Drama,Horror,Thriller, nm0003337, nm0003836"
Pelle erobreren,"Drama, nm0404817, nm0000806"
Pelli Choopulu,"Comedy,Drama,Romance, nm8232982, nm5056902"
Per qualche dollaro in più,"Western, nm0000142, nm0001466"
Per un pugno di dollari,"Action,Drama,Western, nm0000142, nm0001466"
Peranbu,"Drama, nm0007123, nm3591496"
Perfetti sconosciuti,"Comedy,Drama, nm0061484, nm0002645"
Perfume: The Story of a Murderer,"Crime,Drama,Fantasy, nm0924210, nm0878756"
Persepolis,"Animation,Biography,Drama, nm1749112"
Persona,"Drama,Thriller, nm0085038, nm0000005"
Pesvebi,"Drama, nm0007717, nm0583874"
Philadelphia,"Drama, nm0000158, nm0001129"
Philomena,"Biography,Comedy,Drama, nm0176869, nm0001241"
Pickpocket,"Crime,Drama, nm0489425, nm0000975"
Pickup on South Street,"Crime,Film-Noir,Mystery, nm0001847, nm0002087"
Pierrot le fou,"Crime,Drama,Romance, nm0000901, nm0000419"
Piku,"Comedy,Drama, nm0000821, nm1999473"
Pina,"Documentary,Music, nm0000694"
Pink,"Crime,Drama,Thriller, nm0000821, nm2287772"
Pink Floyd: Live at Pompeii,"Documentary,Music, nm0531066"
Pink Floyd: The Wall,"Drama,Fantasy,Music, nm0002097, nm0000570"
Pinocchio,"Adventure,Animation,Comedy, nm0427934, nm0272568"
Pirates of the Caribbean: The Curse of the Black Pearl,"Action,Adventure,Fantasy, nm0000136, nm0893659"
Pithamagan,"Action,Drama, nm1417314, nm1220246"
Pixote: A Lei do Mais Fraco,"Crime,Drama, nm0196236, nm0002199"
Pizza,"Horror,Thriller, nm4043111, nm5366274"
"Planes, Trains & Automobiles","Comedy,Drama, nm0000188, nm0000455"
Planet of the Apes,"Adventure,Sci-Fi, nm0000032, nm0769874"
Platoon,"Drama,War, nm0000221, nm0000231"
"Play It Again, Sam","Comedy,Romance, nm0000095, nm0006889"
Playtime,"Comedy, nm0004244"
Pleasantville,"Comedy,Drama,Fantasy, nm0001497, nm0002657"
Plein soleil,"Crime,Drama,Thriller, nm0001128, nm0167496"
Poesía sin fin,"Biography,Drama,Fantasy, nm0423523, nm0423524"
Pokiri,"Action,Crime,Thriller, nm1121870, nm0700872"
Pokkiri,"Action,Crime,Thriller, nm0897201, nm0222150"
Politiki kouzina,"Drama, nm0004248, nm0099552"
Ponniyin Selvan: Part One,"Action,Adventure,Drama, nm1417314, nm0711745"
Poove Unakkaga,"Comedy,Drama,Romance, nm0897201, nm1417315"
Popiól i diament,"Drama,Romance,War, nm0194193, nm0906667"
Portrait de la jeune fille en feu,"Drama,Romance, nm1780037"
Portrait of Jennie,"Drama,Fantasy,Mystery, nm0001072, nm0226189"
Pratikshya,"Drama, nm8328893, nm8129277"
Pred dozhdot,"Drama,Romance,War, nm0784884, nm0541391"
Predator,"Action,Adventure,Horror, nm0000216, nm0001532"
Premadesam,"Drama, nm7802204, nm13921530"
Premam,"Comedy,Drama,Romance, nm4028885, nm4733887"
Pride,"Biography,Comedy,Drama, nm0631490, nm0911334"
Pride & Prejudice,"Drama,Romance, nm0532193, nm0942504"
Pries parskrendant i zeme,"Documentary, nm1644484"
Primal Fear,"Crime,Drama,Mystery, nm0000152, nm0387706"
Prisoners,"Crime,Drama,Mystery, nm0413168, nm0898288"
Priyamudan,"Romance,Thriller, nm0897201, nm2015765"
Profesionalac,"Comedy,Drama, nm0865392, nm0468169"
Professione: reporter,"Drama,Thriller, nm0000197, nm0000774"
Profondo rosso,"Horror,Mystery,Thriller, nm0376101, nm0000783"
Promising Young Woman,"Crime,Drama,Mystery, nm3102998, nm2193504"
Przypadek,"Drama,Romance, nm0511277, nm0001425"
Psycho,"Horror,Mystery,Thriller, nm0000578, nm0000033"
Pudhu Pettai,"Action,Crime,Drama, nm1333687, nm1421754"
Pulp Fiction,"Crime,Drama, nm0000237, nm0000233"
Punishment Park,"Drama,Thriller, nm0092688, nm0914386"
Pushpa: The Rise - Part 1,"Action,Crime,Drama, nm1084853, nm1335875"
Pushpaka Vimana,"Comedy,Drama, nm0352032, nm0801870"
Puskás Hungary,"Biography,Documentary,Sport, nm0350393, nm0022031"
Puss in Boots: The Last Wish,"Adventure,Animation,Comedy, nm0000104, nm3150455"
Pyaar Ka Punchnama,"Comedy,Drama,Romance, nm4449711, nm3060331"
Pyaasa,"Drama,Musical,Romance, nm0244870"
Pygmalion,"Comedy,Drama,Romance, nm0001366, nm0002190"
Pájaros de verano,"Crime,Drama, nm9820630, nm5305003"
Pâfekuto burû,"Animation,Crime,Drama, nm0875320, nm0464804"
Pépé le Moko,"Crime,Drama,Romance, nm0300064, nm0245213"
Qiu Ju da guan si,"Comedy,Drama, nm0514988, nm0955443"
Quai des Orfèvres,"Crime,Drama, nm0431212, nm0167241"
Que Horas Ela Volta?,"Comedy,Drama, nm2376938, nm1155957"
Queen,"Adventure,Comedy,Drama, nm3822770, nm2134474"
Queen Christina,"Biography,Drama,Romance, nm0318105, nm0541149"
Quiz Show,"Biography,Drama,History, nm0000146, nm0000602"
"Quo vadis, Aida?","Drama,History,War, nm0048081, nm1120092"
RBG,"Biography,Documentary, nm3792517"
RRR (Rise Roar Revolt),"Action,Adventure,Drama, nm1694524, nm1442514"
Raanjhanaa,"Drama,Romance, nm1333687, nm2399862"
Raazi,"Action,Drama,Thriller, nm5817249, nm1126068"
Raging Bull,"Biography,Drama,Sport, nm0000134, nm0000217"
Raiders of the Lost Ark,"Action,Adventure, nm0000148, nm0000229"
Rain Man,"Drama, nm0000163, nm0001469"
Ramayana: The Legend of Prince Rama,"Action,Adventure,Animation, nm0186505, nm0595917"
Ran,"Action,Drama,War, nm0619938, nm0000041"
Random Harvest,"Drama,Romance, nm0172903, nm0503777"
Rane,"Comedy,Crime,Drama, nm0670707, nm0236729"
Rang De Basanti,"Comedy,Crime,Drama, nm0451148, nm1018493"
Rang-e khoda,"Drama,Family, nm0536954, nm0006498"
Rangasthalam,"Action,Drama, nm2776304, nm1335875"
RangiTaranga,"Mystery,Thriller, nm7111158, nm4093647"
Rashômon,"Crime,Drama,Mystery, nm0001536, nm0000041"
Ratatouille,"Adventure,Animation,Comedy, nm0004951, nm0083348"
Ratcatcher,"Drama, nm0281107, nm0708903"
Ratsasan,"Action,Crime,Drama, nm3684167, nm6442107"
Ray,"Biography,Drama,Music, nm0004937, nm0000431"
Rear Window,"Mystery,Thriller, nm0000071, nm0000033"
Rebecca,"Drama,Film-Noir,Mystery, nm0000059, nm0000033"
Rebel Without a Cause,"Drama, nm0000015, nm0712947"
Red Army,"Biography,Documentary,History, nm2126907"
Red River,"Drama,Western, nm0000078, nm0001328"
Redline,"Action,Animation,Sci-Fi, nm0454120, nm1238086"
Relatos salvajes,"Comedy,Drama,Thriller, nm0334882, nm1167933"
Religulous,"Comedy,Documentary,War, nm0153078"
Remember the Night,"Comedy,Drama,Romance, nm0534045, nm0500552"
Remember the Titans,"Biography,Drama,Sport, nm0000243, nm0945026"
Repulsion,"Drama,Horror,Thriller, nm0376915, nm0000591"
Requiem for a Dream,"Drama, nm0001467, nm0004716"
Requiem for the American Dream,"Biography,Documentary,News, nm3885159"
Reservoir Dogs,"Crime,Thriller, nm0000172, nm0000233"
Retfærdighedens ryttere,"Action,Comedy,Drama, nm0586568, nm0421314"
Revanche,"Crime,Drama,Romance, nm0471406, nm0818608"
Revolution of Our Times,"Documentary,History, nm6257847"
Richard Jewell,"Biography,Crime,Drama, nm3236159, nm0000142"
Rio Bravo,"Western, nm0000078, nm0001328"
Riri Shushu no subete,"Crime,Drama,Music, nm1130046, nm0412517"
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi, nm0290556, nm1012501"
Road to Ninja: Naruto the Movie,"Action,Adventure,Animation, nm0605451, nm1618147"
Road to Perdition,"Crime,Drama,Thriller, nm0000158, nm0005222"
Roadrunner: A Film About Anthony Bourdain,"Documentary, nm1365879"
Robin Hood,"Adventure,Animation,Comedy, nm0066028, nm0718627"
Robin Williams: Come Inside My Mind,"Biography,Comedy,Documentary, nm0954912"
RoboCop,"Action,Crime,Sci-Fi, nm0000693, nm0000682"
Rocco e i suoi fratelli,"Crime,Drama,Sport, nm0001128, nm0899581"
Rock On!!,"Drama,Music, nm0992000, nm0438461"
Rocket Singh: Salesman of the Year,"Comedy,Drama, nm1633541, nm0024912"
Rocketry: The Nambi Effect,"Biography,Drama, nm0534856"
Rockstar,"Drama,Music,Romance, nm1633541, nm1665004"
Rocky,"Drama,Sport, nm0000230, nm0000814"
Rogue One,"Action,Adventure,Sci-Fi, nm0526019, nm2284484"
Roja,"Drama,Romance,Thriller, nm0841552, nm0711745"
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Biography,Documentary,History, nm0320091, nm0000217"
Roma,"Drama, nm9948845, nm0190859"
Roma città aperta,"Drama,Thriller,War, nm0264762, nm0744023"
Roman Holiday,"Comedy,Romance, nm0000060, nm0943758"
Romeo and Juliet,"Drama,Romance, nm0926013, nm0001874"
Room,"Drama,Thriller, nm5016878, nm1049433"
Room at the Top,"Drama,Romance, nm0002131, nm0002338"
Rope,"Crime,Drama,Mystery, nm0000071, nm0000033"
Rosemary's Baby,"Drama,Horror, nm0001023, nm0000591"
Ruang rak noi nid mahasan,"Comedy,Drama,Romance, nm0038355, nm0711579"
Rudra Veena,"Drama,Music, nm0158112, nm0049335"
Rudy,"Biography,Drama,Sport, nm0000276, nm0000770"
Running on Empty,"Crime,Drama,Music, nm0000203, nm0001486"
Rupan sansei: Kariosutoro no shiro,"Action,Adventure,Animation, nm0945280, nm0594503"
Rurôni Kenshin: Densetsu no saigo-hen,"Action,Adventure,Drama, nm2615398, nm3311094"
Rurôni Kenshin: Kyôto taika-hen,"Action,Adventure,Drama, nm2615398, nm3311094"
Rush,"Action,Biography,Drama, nm0117709, nm0000165"
Rushmore,"Comedy,Drama,Romance, nm0005403, nm0027572"
S detza na more,"Comedy,Drama, nm1157115, nm1003276"
Saban Oglu Saban,"Comedy,Crime,Mystery, nm0839017, nm0251027"
Sabrina,"Comedy,Drama,Romance, nm0000007, nm0000697"
Sachin,"Documentary,Sport, nm8136379, nm0259847"
Safety Last!,"Action,Comedy,Thriller, nm0516001, nm0628345"
Sagara Sangamam,"Drama,Music,Musical, nm0352032, nm0899649"
Sahara,"Action,Drama,War, nm0000007, nm0466113"
Sahte Kabadayi,"Comedy, nm0839017, nm0047971"
Sai de ke · ba lai: Tai yang qi,"Action,Drama,History, nm0027942, nm0917669"
Sai yau gei: Sin leui kei yun,"Action,Adventure,Comedy, nm0159507, nm0311508"
Sai yau gei: Yut gwong bou haap,"Action,Adventure,Comedy, nm0159507, nm0311508"
Saikaku ichidai onna,"Drama, nm0837360, nm0003226"
Sairat,"Drama,Romance, nm8107387, nm5616219"
Sakar Sakir,"Comedy, nm0839017, nm0047971"
Salaam Bombay!,"Crime,Drama, nm0787359, nm0619762"
Salak Milyoner,"Comedy, nm0839017, nm0251027"
Salinui chueok,"Crime,Drama,Mystery, nm0814280, nm0094435"
Samsara,"Adventure,Drama,Romance, nm0473329, nm0659023"
Samsara,"Documentary,Music, nm0294825"
Sanam Teri Kasam,"Drama,Musical,Romance, nm4626627, nm1840921"
Sandesham,"Comedy,Drama, nm0820208, nm0030791"
Sanju,"Biography,Comedy,Drama, nm1633541, nm0386246"
Sankarabharanam,"Drama,Music,Romance, nm0004468, nm0899649"
Sanma no aji,"Drama, nm0753479, nm0654868"
Sans soleil,"Documentary,Drama, nm0003408"
Sans toit ni loi,"Drama, nm0293889, nm0889513"
Sanshô dayû,"Drama, nm0359296, nm0003226"
Santa Sangre,"Drama,Horror,Thriller, nm0423525, nm0423524"
Santouri,"Drama,Musical,Romance, nm1367819, nm0576529"
Sardar Udham,"Biography,Crime,Drama, nm5817249, nm1999473"
Sarfarosh,"Action,Drama,Thriller, nm0451148, nm0559877"
Sarkar,"Action,Crime,Drama, nm0000821, nm0890060"
"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai","Drama, nm0619047, nm6142895"
Sarmasik,"Drama,Fantasy,Thriller, nm3312754, nm3796645"
Sarpatta Parambarai,"Action,Drama,Sport, nm1951127, nm3163794"
Sarsenapati Hambirrao,"Action,Drama,History, nm5053136, nm3642592"
Saturday Night and Sunday Morning,"Drama,Romance, nm0001215, nm0718554"
Satya,"Action,Crime,Drama, nm0149835, nm0890060"
Saving Mr. Banks,"Biography,Comedy,Drama, nm0000158, nm0359387"
Saving Private Ryan,"Drama,War, nm0000158, nm0000229"
Saw,"Horror,Mystery,Thriller, nm0000144, nm1490123"
Sayat Nova,"Biography,Drama,History, nm0017934, nm0660886"
Scaramouche,"Action,Adventure,Comedy, nm0001289, nm0796645"
Scarface,"Action,Crime,Drama, nm0612847, nm0001328"
Scarface,"Crime,Drama, nm0000199, nm0000361"
Scarlet Street,"Crime,Drama,Film-Noir, nm0000064, nm0000485"
Scener ur ett äktenskap,"Drama, nm0430746, nm0000005"
Scent of a Woman,"Drama, nm0000199, nm0000976"
Schindler's List,"Biography,Drama,History, nm0000553, nm0000229"
Sciuscià,"Drama, nm0810676, nm0001120"
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy, nm0148418, nm0942367"
Scream for Me Sarajevo,"Documentary,Music,War, nm5514670"
Scrooge,"Drama,Family,Fantasy, nm0799237, nm0221423"
Scum,"Crime,Drama, nm0935653, nm0164639"
"Se, jie","Drama,History,Romance, nm0504897, nm0000487"
Se7en,"Crime,Drama,Mystery, nm0000151, nm0000399"
Seance on a Wet Afternoon,"Crime,Drama, nm0000277, nm0285302"
Searching,"Drama,Horror,Mystery, nm0158626, nm3792134"
Searching for Sugar Man,"Biography,Documentary,Music, nm0070594"
Secondhand Lions,"Comedy,Drama,Family, nm0005286, nm0564827"
Seconds,"Sci-Fi,Thriller, nm0001369, nm0001239"
Secret Superstar,"Drama,Music, nm2366974, nm2378914"
Secrets & Lies,"Comedy,Drama, nm0001758, nm0005139"
Secrets of Sinauli: Discovery of the Century,"Documentary,History, nm7096167"
Section 375,"Crime,Drama,Mystery, nm0451379, nm5120912"
Seethamma Vaakitlo Sirimalle Chettu,"Comedy,Drama, nm0893142, nm2639966"
Sekerpare,"Comedy,History,Romance, nm0758656, nm0947998"
Seksmisja,"Adventure,Comedy,Sci-Fi, nm0585239, nm0532702"
Selma,"Biography,Drama,History, nm0654648, nm1148550"
Selvi Boylum Al Yazmalim,"Drama,Romance, nm0408381, nm0947998"
Sen Aydinlatirsin Geceyi,"Drama,Fantasy,Romance, nm5630709, nm1729447"
Sen to Chihiro no kamikakushi,"Adventure,Animation,Family, nm0997115, nm0594503"
Senna,"Biography,Documentary,Sport, nm0438090"
Sennen joyû,"Animation,Drama,Fantasy, nm0959936, nm0464804"
Sense and Sensibility,"Drama,Romance, nm0281424, nm0000487"
Seppuku,"Action,Drama,Mystery, nm0619938, nm0462030"
Serbuan maut,"Action,Crime,Thriller, nm3299397, nm2153088"
Serbuan maut 2: Berandal,"Action,Crime,Thriller, nm3299397, nm2153088"
Serenity,"Action,Adventure,Sci-Fi, nm0277213, nm0923736"
Sergeant York,"Biography,Drama,History, nm0000011, nm0001328"
Serpico,"Biography,Crime,Drama, nm0000199, nm0001486"
Seven Chances,"Comedy,Romance, nm0000036"
Seven Days in May,"Drama,Thriller, nm0000044, nm0001239"
Seven Pounds,"Drama, nm0000226, nm0610831"
Sevmek Zamani,"Drama,Romance, nm0448894, nm0259499"
Shaadi Mein Zaroor Aana,"Drama,Romance, nm3822770, nm9323057"
Shadow of a Doubt,"Film-Noir,Thriller, nm0001072, nm0000033"
Shahid,"Biography,Drama, nm3822770, nm0576554"
Shall We Dance,"Comedy,Musical,Romance, nm0000001, nm0762263"
Shall we dansu?,"Comedy,Drama,Music, nm0945131, nm0839397"
Shams Al-Ma'arif,"Comedy, nm8941802, nm8941800"
Shane,"Drama,Western, nm0000042, nm0828419"
Shao Lin san shi liu fang,"Action,Adventure,Drama, nm0514904, nm0514906"
Shaonian de ni,"Crime,Drama,Romance, nm3725393, nm1229124"
Sharmaji Namkeen,"Comedy,Drama,Family, nm0438501, nm8486428"
Shaun of the Dead,"Comedy,Horror, nm0670408, nm0942367"
Shelter,"Drama,Romance,Sport, nm0942901, nm0995691"
Sherekilebi,"Comedy,Musical, nm0158509, nm0791542"
Sherlock Holmes,"Action,Adventure,Mystery, nm0000375, nm0005363"
Sherlock Jr.,"Action,Comedy,Romance, nm0000036"
Shershaah,"Action,Biography,Drama, nm3289096, nm3315387"
Shhh!,"Horror,Mystery,Thriller, nm0332868, nm1962192"
Shi,"Drama, nm3752295, nm0496969"
Shi mian mai fu,"Action,Adventure,Drama, nm0437580, nm0955443"
Shichinin no samurai,"Action,Drama, nm0001536, nm0000041"
Shiddat,"Romance, nm4113924, nm2260731"
Shin Evangelion Gekijôban,"Action,Animation,Drama, nm0410907, nm0535340"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Action,Animation,Drama, nm0030417"
Shine,"Biography,Drama,Music, nm0001691, nm0382956"
Shingeki no Kyojin: Chronicle,"Action,Adventure,Animation, nm2569233, nm2967345"
Ship of Theseus,"Drama, nm6814353, nm1628153"
Shoah,"Documentary,History,War, nm0487351"
Sholay,"Action,Adventure,Comedy, nm0474876, nm0802693"
Shooting Dogs,"Drama,History,War, nm0000457, nm0001994"
Short Cuts,"Comedy,Drama, nm0000209, nm0000265"
Short Term 12,"Drama, nm0877555, nm2308774"
Shrek,"Adventure,Animation,Comedy, nm0000196, nm0011470"
Shurayukihime,"Action,Crime,Drama, nm0475910, nm0297846"
Shutter Island,"Mystery,Thriller, nm0000138, nm0000217"
Shyam Singha Roy,"Drama,Romance, nm3761004, nm6916508"
Shyamol Chhaya,"Drama, nm1156207, nm0014152"
Sibirskiy tsiryulnik,"Comedy,Drama,History, nm0579823, nm0586482"
Sicario,"Action,Crime,Drama, nm0000982, nm0898288"
Side by Side,"Documentary, nm0447863"
Sideways,"Comedy,Drama,Romance, nm0316079, nm0668247"
Sigur Rós: Heima,"Documentary,Music, nm0213450"
Silver Linings Playbook,"Comedy,Drama,Romance, nm0177896, nm0751102"
Simon,"Comedy,Drama, nm0311588, nm0856124"
Sin City,"Crime,Thriller, nm0000620, nm0588340"
Sin nombre,"Adventure,Crime,Drama, nm2588226, nm1560977"
Sindhooram,"Drama, nm2469281, nm5118748"
Sing Street,"Comedy,Drama,Music, nm6916321, nm0138809"
Singin' in the Rain,"Comedy,Musical,Romance, nm0000037, nm0002045"
Sinsegye,"Action,Crime,Drama, nm0497631, nm4219902"
Sir,"Drama,Romance, nm1836649, nm1402184"
Sita Ramam,"Action,Drama,Mystery, nm4921260, nm2380725"
Siu nin Wong Fei Hung chi: Tit ma lau,"Action,Crime,Drama, nm0950552, nm0950759"
Sivaji,"Action,Crime,Drama, nm0707425, nm0788171"
Siworae,"Drama,Fantasy,Romance, nm0497631, nm0497416"
"Sjecas li se, Dolly Bell","Comedy,Drama,Romance, nm0830371, nm0001437"
Skammen,"Drama, nm0001884, nm0000005"
Skyfall,"Action,Adventure,Thriller, nm0185819, nm0005222"
Sleepers,"Crime,Drama,Thriller, nm0000134, nm0001469"
Sleuth,"Mystery,Thriller, nm0000059, nm0000581"
Sling Blade,"Drama, nm0000671"
Slumdog Millionaire,"Crime,Drama,Romance, nm2353862, nm0000965"
Sluzhebnyy roman,"Comedy,Drama,Romance, nm0616556, nm0752922"
Smultronstället,"Drama,Romance, nm0803705, nm0000005"
Snatch,"Comedy,Crime, nm0005458, nm0005363"
Snow White and the Seven Dwarfs,"Adventure,Animation,Family, nm0830968, nm0183183"
So-won,"Drama, nm0812555, nm1045937"
Soldaat van Oranje,"Drama,Romance,Thriller, nm0000442, nm0000682"
Solyaris,"Drama,Mystery,Sci-Fi, nm0052023, nm0001789"
Some Like It Hot,"Comedy,Music,Romance, nm0000348, nm0000697"
Somebody Up There Likes Me,"Biography,Drama,Sport, nm0000056, nm0936404"
Sommaren med Monika,"Drama,Romance, nm0252299, nm0000005"
Sommarlek,"Drama,Romance, nm0540311, nm0000005"
Sommarnattens leende,"Comedy,Romance, nm0000005"
Sonatine,"Action,Comedy,Crime, nm0001429"
Sonbahar,"Drama, nm2380484, nm3213296"
Sonchiriya,"Action,Crime,Drama, nm3818286, nm1322477"
Song of the Sea,"Adventure,Animation,Drama, nm5146515, nm1119079"
Sons of the Desert,"Comedy,Family,Music, nm0491048, nm0782682"
Soodhu Kavvum,"Comedy,Crime,Thriller, nm4043111, nm5650589"
Soorarai Pottru,"Action,Drama, nm1421814, nm1464314"
Sophie Scholl - Die letzten Tage,"Biography,Crime,Drama, nm1443396, nm0745131"
Sophie's Choice,"Drama,Romance, nm0000177, nm0001587"
Sorcerer,"Adventure,Drama,Thriller, nm0001702, nm0001243"
Sorry We Missed You,"Drama, nm1106944, nm0516360"
Soshite chichi ni naru,"Drama, nm0298048, nm0466153"
Soul,"Adventure,Animation,Comedy, nm0004937, nm0230032"
Sound City,"Documentary,Music, nm0342970"
Sound of Metal,"Drama,Music, nm1981893, nm2942187"
Source Code,"Action,Drama,Mystery, nm0350453, nm1512910"
"South Park: Bigger, Longer & Uncut","Animation,Comedy,Fantasy, nm0005295"
Soy Cuba,"Drama, nm0180959, nm0435563"
Spadikam,"Action,Drama, nm0858128, nm0080143"
Spalovac mrtvol,"Comedy,Crime,Drama, nm0398703, nm0381228"
Spartacus,"Adventure,Biography,Drama, nm0000018, nm0000040"
Special Chabbis,"Crime,Drama,Thriller, nm0474774, nm3109770"
Spellbound,"Comedy,Documentary,Thriller, nm0998825"
Spellbound,"Film-Noir,Mystery,Romance, nm0000060, nm0000033"
Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation, nm4271336, nm2130108"
Spider-Man: No Way Home,"Action,Adventure,Fantasy, nm4043618, nm1218281"
Splendor in the Grass,"Drama,Romance, nm0000886, nm0001415"
Spoorloos,"Mystery,Thriller, nm0232627, nm0806293"
Spotlight,"Biography,Crime,Drama, nm0749263, nm0565336"
Srabon Megher Din,"Drama,Romance, nm1417645, nm0014152"
Srimanthudu,"Action,Drama, nm1121870, nm2270180"
Sseo-ni,"Comedy,Drama, nm3292009"
Stachka,"Drama, nm0017893, nm0001178"
Stage Door,"Comedy,Drama,Romance, nm0579663, nm0478441"
Stagecoach,"Adventure,Drama,Western, nm0000078, nm0000406"
Stalag 17,"Comedy,Drama,War, nm0000034, nm0000697"
Stalingrad,"Drama,War, nm0395850, nm0005917"
Stalker,"Drama,Sci-Fi, nm0435289, nm0001789"
Stand by Me,"Adventure,Drama, nm0000696, nm0001661"
Stanley Ka Dabba,"Comedy,Drama,Family, nm4428422, nm1244760"
Stanley Kubrick: A Life in Pictures,"Biography,Documentary, nm0363214"
Star Trek,"Action,Adventure,Sci-Fi, nm1517976, nm0009190"
Star Trek II: The Wrath of Khan,"Action,Adventure,Sci-Fi, nm0000638, nm0583292"
Star Trek Into Darkness,"Action,Adventure,Sci-Fi, nm1517976, nm0009190"
Star Trek: First Contact,"Action,Adventure,Drama, nm0001772"
Star Wars,"Action,Adventure,Fantasy, nm0000434, nm0000184"
Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Fantasy, nm0159789, nm0000184"
Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Fantasy, nm0000434, nm0549658"
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Sci-Fi, nm3915784, nm0009190"
Stardust,"Adventure,Family,Fantasy, nm1214435, nm0891216"
State of Siege: Temple Attack,"Action,Thriller, nm0451379, nm1264481"
"Steamboat Bill, Jr.","Action,Comedy,Drama, nm0000036, nm0718469"
Steven Universe: The Movie,"Action,Adventure,Animation, nm2642131, nm3566987"
Stewie Griffin: The Untold Story,"Adventure,Animation,Comedy, nm0532235, nm0585086"
Still Alice,"Drama, nm0000285, nm0322144"
Stop Making Sense,"Documentary,Music, nm0941600, nm0001129"
Stories We Tell,"Documentary, nm0001631"
Straight Outta Compton,"Biography,Drama,History, nm6578009, nm0336620"
Stranger Than Fiction,"Comedy,Drama,Fantasy, nm0002071, nm0286975"
Stranger: Mukô hadan,"Action,Adventure,Animation, nm0619187, nm1622836"
Strangers on a Train,"Crime,Drama,Film-Noir, nm0335048, nm0000033"
Stree,"Comedy,Horror, nm14022766, nm3603873"
Stroszek,"Comedy,Drama, nm0754165, nm0001348"
Stutz,"Documentary, nm1706767"
Submarino,"Drama, nm3758466, nm0899121"
Sudden Fear,"Film-Noir,Thriller, nm0001588, nm0588183"
"Suddenly, Last Summer","Drama,Mystery,Thriller, nm0001050, nm0000581"
Sullivan's Travels,"Adventure,Comedy,Drama, nm0566948, nm0002545"
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary,Music, nm0859821"
Suna no onna,"Drama,Thriller, nm0645402, nm0856267"
Sunrise: A Song of Two Humans,"Drama,Romance, nm0639563, nm0003638"
Sunset Blvd.,"Drama,Film-Noir, nm0000034, nm0000697"
Sunshine,"Drama,History,Romance, nm0000146, nm0843640"
Super 30,"Biography,Drama, nm0004335, nm2134474"
Super Deluxe,"Comedy,Crime,Drama, nm4043111, nm3586222"
Superbad,"Comedy, nm0148418, nm0609549"
Superman II: The Richard Donner Cut,"Action,Adventure,Romance, nm0000432, nm0001149"
Supersonic,"Biography,Documentary,Music, nm1475971"
Support Your Local Sheriff!,"Comedy,Western, nm0001258, nm0447944"
Survive Style 5+,"Fantasy,Mystery,Romance, nm0038355, nm1749002"
Suzumiya Haruhi no shôshitsu,"Animation,Drama,Family, nm0837523, nm2128776"
Svetat e golyam i spasenie debne otvsyakade,"Drama, nm0543547, nm0464526"
"Swades: We, the People","Drama,Musical, nm0451321, nm0332950"
